,epa_registration_number,product_name,date_of_application,address,municipality,zip_code,dosage_rate,place,qtty_used,units
0,000524‐00579,ROUNDUP PROMAX,9/16/2017,Houston St Btw Baruch Dr and Ave D,New York,10002,3%,Houston Malls,171,FL
1,000524‐00579,ROUNDUP PROMAX,9/16/2017,Houston St Btw Ave D and Ave C,New York,10002,3%,Houston Malls,75,FL
2,000524‐00579,ROUNDUP PROMAX,9/16/2017,Houston St Btw Ave C  Clinton Street,New York,10002,3%,Houston Malls,5,FL
3,000524‐00579,ROUNDUP PROMAX,6/10/2017,130th st  Madison Ave,New York,10037,3%,Moore Plgd Perimeter,2,FL
4,000524‐00579,ROUNDUP PROMAX,6/10/2017,135th st  5th Ave,New York,10037,3%,Abe Lincoln Plgd Perimeter,8,FL
5,000524‐00579,ROUNDUP PROMAX,6/10/2017,128th st Lexington Ave,New York,10035,3%,Alice Kornegay Triangle,8,FL
6,000524‐00579,ROUNDUP PROMAX,6/10/2017,2nd Ave  120th St,New York,10035,3%,Wagner Plgd Perimeter,4,FL
7,000524‐00579,ROUNDUP PROMAX,6/10/2017,60 East 104th Street,New York,10029,3%,Mae Grant Plgd Perimeter,12,FL
8,000524‐00579,ROUNDUP PROMAX,6/10/2017,109th Street  Park Ave,New York,10029,3%,Peter Minuet Plgd Perimeter,12,FL
9,000524‐00579,ROUNDUP PROMAX,7/7/2017,1 Wards Island,New York,10035,3%,Boro Crew Compound,84,FL
10,000524‐00579,ROUNDUP PROMAX,7/8/2017,35‐36th St btw 1st  2nd Ave,New York,10016,3%,St Varten Plgd,24,FL
11,000524‐00579,ROUNDUP PROMAX,7/8/2017,41st‐42nd St  1st Ave,New York,10017,3%,Robert Mosses Plgd,2,FL
12,000524‐00579,ROUNDUP PROMAX,7/22/2017,Baruch Place  Margin St,New York,10002,3%,Baruch Plgd,04,FL
13,000524‐00579,ROUNDUP PROMAX,7/22/2017,Cherry  Monroe St,New York,10002,3%,Coleman Plgd,107,FL
14,000524‐00579,ROUNDUP PROMAX,7/22/2017,Cherry‐Water St Btw Monroe  Catherine S,New York,10002,3%,Tanahey Plgd,88,FL
15,000524‐00579,ROUNDUP PROMAX,9/16/2017,114th Street  Morningside Drive,New York,10026,3%,Morningside Lawn,2,FL
16,000524‐00579,ROUNDUP PROMAX,10/12/2017,E60‐61st btw FDR  York,New York,10065,3%,24 Sycamore,4,FL
17,000524‐00579,ROUNDUP PROMAX,10/13/2017,76th St and Cherokee Place,New York,10021,3%,John Jay Park,84,FL
18,000524‐00579,ROUNDUP PROMAX,10/13/2017,84‐90th btw East End  East River,New York,10028,3%,Carl Shurz,4,FL
19,000524‐00579,ROUNDUP PROMAX,10/13/2017,96‐97th St  FDR,New York,10028,3%,Stanely Issacs,8,FL
20,000524‐00579,ROUNDUP PROMAX,10/13/2017,95‐96th St  Lexington Ave,New York,10028,3%,Samuel Seabury,28,FL
21,000524‐00579,ROUNDUP PROMAX,10/13/2017,144th St  Lenox,New York,10039,3%,Colonol Young,28,FL
22,000524‐00579,ROUNDUP PROMAX,7/22/2017,Catherine Slip btw Monroe  Cherry St,New York,10002,3%,Al Smith Plgd,64,FL
23,000524‐00579,ROUNDUP PROMAX,8/13/2017,South St  Dover St,New York,10038,3%,Driscol Walk East River Esplanade,27,FL
24,000524‐00579,ROUNDUP PROMAX,8/13/2017,Morningside Ave  123rd St,New York,10026,3%,Morningside Park,214,FL
25,000524‐00579,ROUNDUP PROMAX,8/13/2017,Morningside Ave  118th St,New York,10026,3%,Morningside Park,4,FL
26,000524‐00579,ROUNDUP PROMAX,8/13/2017,Morningside Ave  Morningside Drive,New York,10026,3%,Morningside Park,4,FL
27,000524‐00579,ROUNDUP PROMAX,6/9/2017,124th Btw Madison Ave  Mount Morris,Manhattan,10027,3%,Marcus Garvey,8,FL
28,000524‐00579,ROUNDUP PROMAX,6/10/2017,120th Btw Madison Ave  Mount Morris,Manhattan,10027,3%,Marcus Garvey,8,FL
29,000524‐00579,ROUNDUP PROMAX,6/10/2017,Mount Morris btw 120th‐124th Streets,Manhattan,10027,3%,Marcus Garvey,2,FL
30,000524‐00579,ROUNDUP PROMAX,6/10/2017,Madison Ave btw 120th‐124th Streets,Manhattan,10027,3%,Marcus Garvey,2,FL
31,000524‐00579,ROUNDUP PROMAX,6/10/2017,120th‐124th btw Mount Morris  Madison A,Manhattan,10027,3%,Marcus Garvey Interior Park,214,FL
32,000524‐00579,ROUNDUP PROMAX,7/22/2017,Madison  Catherine St,Manhattan,10002,3%,Playground One,24,FL
33,000524‐00579,ROUNDUP PROMAX,8/4/2017,135th St  Lexington Ave,Manhattan,10037,3%,Howard Bennett Park,2,FL
34,000524‐00579,ROUNDUP PROMAX,8/4/2017,117th St btw St Nicholas  Adam Clayton,Manhattan,10026,3%,Phillip Randolph,8,FL
35,000524‐00579,ROUNDUP PROMAX,8/4/2017,114th St btw MorningsideManhattan Av,Manhattan,10026,3%,Lafayette Square,8,FL
36,000524‐00579,ROUNDUP PROMAX,9/9/2017,124‐120th  Mount Morris,Manhattan,10027,3%,Marcus Garvey,120,FL
37,000524‐00579,ROUNDUP PROMAX,9/9/2017,102‐104  2nd Ave,Manhattan,10029,3%,Blake Hobbs Plgd,13,FL
38,000524‐00579,ROUNDUP PROMAX,9/9/2017,101st St Btw 3rd Ave  Lexington,Manhattan,10029,3%,Sunshine Plgd,42,FL
39,000524‐00579,ROUNDUP PROMAX,9/9/2017,108th St  3rd Ave,Manhattan,10029,3%,Poor Richards,56,FL
40,000524‐00579,Round Up ProMax,4/14/2017,71st Street inside Park,New York,10023,3%,Riverside Park,3,FL
41,000524‐00579,Round Up ProMax,6/9/2017,South Park 59th Street,New York,10023,3%,Riverside Park,3,FL
42,000524‐00579,ROUNDUP PROMAX,8/7/2017,741 Fort Tryon Avenue,New York,10040,3%,Fort Tryon Park,8,FL
43,000524‐00579,ROUNDUP PROMAX,8/15/2017,741 Fort Tryon Avenue,New York,10040,3%,Fort Tryon Park,4,FL
44,000524‐00579,ROUNDUP PROMAX,9/16/2017,Houston St Btw Baruch Drive  FDR,New York,10002,3%,Houston Malls,5,FL
