,epa_registration_number,product_name,municipality,place,date_of_application,address,zip_code,dosage_rate,qtty_used,units
0,000524‐00579,ROUND UP PRO MAX,NYC,Conference House Park,9/13/2017,Hylan Blvd.Saterlee St.Craig St.,10307,2Fl/G,5,FL
1,000524‐00579,ROUND UP PRO MAX,NYC,Kingfisher Park,9/13/2017,Corbin Ave.Fairfield St.Miles Ave.,10308,2Fl/G,5,FL
2,000524‐00579,ROUND UP PRO MAX,NYC,South Beach Boardwalk,5/24/2017,Father Capodanno Blvd.Sand Ln.Seaview Av,10305,2FL/G,2,FL
3,000524‐00579,ROUND UP PRO MAX,NYC,Drumgoole Tot Lot,10/18/2017,Drumgoole Rd. WRathburn Ave.Carlton Blvd,10302,5FL/G,4,FL
4,000524‐00579,ROUND UP PRO MAX,NYC,Willowbrook Park,10/18/2017,Victory Blvd.Christopher Ln..Loop Rd.,10314,5FL/G,6,FL
5,000524‐00579,ROUND UP PRO MAX,NYC,Willowbrook Park,10/18/2017,Morani St.VictoryBlvd.Ballfield Parking,10314,5FL/G,2,FL
6,062719‐00324,RODEO,NYC,Clove Lakes Park,8/24/2017,Clove Rd Brookside Ave Forest Ave,10311,2 fl / gal,30,FL
7,062719‐00324,RODEO,NYC,Eibs Pond Park,9/1/2017,Palmer Dr Mosel Ave Hanover Ave,10304,2 fl / gal,12,FL
8,000524‐00579,ROUND UP PRO MAX,NYC,Drumgoole Tot Lot,10/18/2017,Drumgoole Rd West Rathbun Ave,10312,5 fl / gal,6,FL
9,000524‐00579,ROUND UP PRO MAX,NYC,Willowbrook Park,10/18/2017,Mosani St Victory Blvd Ballpark Pl,10314,5 fl / gal,2,FL
10,000524‐00579,ROUND UP PRO MAX,NYC,Willowbrook Park,10/18/2017,Victory Blvd Christopher lane Loop Rd,10321,5 fl / gal,4,FL
11,062719‐00324,RODEO,NYC,South Beach Boardwalk,10/26/2017,Fr Cappadonna Sand Ln Seaview Ave,10305,2 fl / gal,4,FL
12,000524‐00579,ROUND UP PRO MAX,NYC,Conference House Park,7/11/2017,Shore Rd Sutterlee St Surf Ave Billop Av,10312,5 FL / gal,15,FL
13,000524‐00579,ROUND UP PRO MAX,NYC,Blue Heron Park,7/11/2017,Eylanot St Barclay Ave Shirley Ave,10312,5 FL / gal,50,FL
14,000524‐00579,ROUND UP PRO MAX,NYC,FreshKills Park,7/18/2017,Travis Ave.Mulberry Ave.Richmond Ave.,10314,5FL/G,20,FL
